Food_ID,Food_Name,Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Glycemic_Index,GI_Category,Diabetes_Friendly,Vegetarian,Meal_Type,Average_Price_NPR
1,Dal Bhat Tarkari Set,Meal,580,22.0,85,12.0,48,Low,Yes,Yes,"Lunch,Dinner",150
2,Brown Rice with Dal,Meal,420,16.0,68,6.0,45,Low,Yes,Yes,"Lunch,Dinner",180
3,Quinoa Bowl,Grain,220,8.0,39,4.0,53,Low,Yes,Yes,"Lunch,Dinner",400
4,Millet (Kodo) Dhido,Grain,180,5.0,38,2.0,50,Low,Yes,Yes,"Lunch,Dinner",100
5,Buckwheat (Fapar) Roti,Grain,240,9.0,48,3.0,54,Low,Yes,Yes,"Breakfast,Lunch,Dinner",90
6,Whole Wheat Roti (2 pcs),Grain,260,8.0,50,3.0,52,Low,Yes,Yes,"Breakfast,Lunch,Dinner",40
7,Oats Porridge,Grain,150,6.0,27,3.0,55,Low,Yes,Yes,Breakfast,80
8,Brown Bread (2 slices),Grain,200,8.0,38,3.0,53,Low,Yes,Yes,Breakfast,60
9,Dal (Moong),Legume,120,10.0,22,0.5,25,Low,Yes,Yes,"Lunch,Dinner",160
10,Dal (Masoor),Legume,116,9.0,20,0.4,29,Low,Yes,Yes,"Lunch,Dinner",150
11,Chickpea Curry (Chana),Legume,210,12.0,35,4.0,28,Low,Yes,Yes,"Lunch,Dinner",140
12,Black Lentil (Kalo Dal),Legume,180,14.0,28,2.0,30,Low,Yes,Yes,"Lunch,Dinner",170
13,Rajma (Kidney Beans),Legume,200,13.0,32,2.0,24,Low,Yes,Yes,"Lunch,Dinner",180
14,Green Gram (Mung Bean),Legume,105,7.0,19,0.4,25,Low,Yes,Yes,"Lunch,Dinner",150
15,Soybean Curry,Legume,180,16.0,10,9.0,15,Low,Yes,Yes,"Lunch,Dinner",120
16,Grilled Chicken Breast,Meat,165,31.0,0,4.0,0,Low,Yes,No,"Lunch,Dinner",300
17,Chicken Soup,Meat,90,12.0,5,2.0,25,Low,Yes,No,"Lunch,Dinner",180
18,Fish Curry (Low Oil),Meat,180,24.0,4,8.0,28,Low,Yes,No,"Lunch,Dinner",320
19,Steamed Fish,Meat,140,26.0,0,3.0,0,Low,Yes,No,"Lunch,Dinner",350
20,Boiled Egg (2 pcs),Meat,155,13.0,1,11.0,0,Low,Yes,No,"Breakfast,Snack",50
21,Egg White Omelette,Meat,80,17.0,2,0.5,0,Low,Yes,No,Breakfast,40
22,Chicken Sekuwa (Grilled),Meat,180,28.0,3,6.0,15,Low,Yes,No,"Lunch,Dinner,Snack",250
23,Paneer Curry (Low Oil),Dairy,220,16.0,8,14.0,38,Low,Yes,Yes,"Lunch,Dinner",380
24,Low Fat Curd (Dahi),Dairy,80,9.0,8,2.0,36,Low,Yes,Yes,"Lunch,Dinner,Snack",90
25,Greek Yogurt,Dairy,100,10.0,6,3.0,35,Low,Yes,Yes,"Breakfast,Snack",150
26,Cottage Cheese (Chana),Dairy,98,11.0,4,4.0,32,Low,Yes,Yes,"Breakfast,Snack",120
27,Saag (Spinach),Vegetable,90,5.0,10,4.0,15,Low,Yes,Yes,"Lunch,Dinner",80
28,Palak Paneer,Vegetable,180,12.0,12,10.0,20,Low,Yes,Yes,"Lunch,Dinner",150
29,Mixed Vegetable Curry,Vegetable,120,4.0,18,4.0,40,Low,Yes,Yes,"Lunch,Dinner",90
30,Broccoli Sabji,Vegetable,55,4.0,11,0.6,10,Low,Yes,Yes,"Lunch,Dinner",120
31,Cauliflower Curry,Vegetable,80,3.0,14,2.0,15,Low,Yes,Yes,"Lunch,Dinner",70
32,Mushroom Curry,Vegetable,60,4.0,8,2.0,15,Low,Yes,Yes,"Lunch,Dinner",180
33,Tofu Curry,Vegetable,140,12.0,8,8.0,15,Low,Yes,Yes,"Lunch,Dinner",200
34,Green Beans Sabji,Vegetable,50,2.0,10,0.5,32,Low,Yes,Yes,"Lunch,Dinner",90
35,Bitter Gourd (Karela),Vegetable,35,2.0,7,0.3,18,Low,Yes,Yes,"Lunch,Dinner",60
36,Bottle Gourd (Lauka),Vegetable,30,1.0,6,0.2,15,Low,Yes,Yes,"Lunch,Dinner",40
37,Ridge Gourd (Ghiraula),Vegetable,28,1.0,6,0.2,12,Low,Yes,Yes,"Lunch,Dinner",50
38,Pumpkin Curry,Vegetable,45,2.0,11,0.3,45,Low,Yes,Yes,"Lunch,Dinner",50
39,Carrot Sabji,Vegetable,60,1.0,14,0.3,35,Low,Yes,Yes,"Lunch,Dinner",60
40,Cabbage Sabji,Vegetable,40,2.0,9,0.2,10,Low,Yes,Yes,"Lunch,Dinner",50
41,Lady Finger (Bhindi),Vegetable,33,2.0,7,0.2,20,Low,Yes,Yes,"Lunch,Dinner",80
42,Eggplant (Baingan),Vegetable,45,1.0,10,0.3,15,Low,Yes,Yes,"Lunch,Dinner",60
43,Tomato Curry,Vegetable,35,2.0,7,0.5,15,Low,Yes,Yes,"Lunch,Dinner",70
44,Gundruk Soup,Vegetable,45,3.0,8,0.2,15,Low,Yes,Yes,"Lunch,Dinner",200
45,Fresh Cucumber Salad,Vegetable,20,1.0,4,0.1,15,Low,Yes,Yes,"Lunch,Dinner,Snack",40
46,Mixed Green Salad,Vegetable,35,2.0,7,0.5,10,Low,Yes,Yes,"Lunch,Dinner,Snack",60
47,Bhatmas Sandeko (Soybean),Legume,150,12.0,10,7.0,18,Low,Yes,Yes,"Lunch,Dinner,Snack",100
48,Aloo Tama (Low Oil),Vegetable,150,4.0,22,5.0,48,Low,Yes,Yes,"Lunch,Dinner",110
49,Veg Momo (Steamed),Meal,180,7.0,28,4.0,55,Low,Yes,Yes,"Lunch,Dinner,Snack",120
50,Chicken Momo (Steamed),Meal,220,12.0,26,6.0,54,Low,Yes,No,"Lunch,Dinner,Snack",150
51,Apple,Fruit,95,0.5,25,0.3,38,Low,Yes,Yes,"Breakfast,Snack",150
52,Banana,Fruit,105,1.0,27,0.4,51,Low,Yes,Yes,"Breakfast,Snack",60
53,Orange,Fruit,62,1.0,15,0.2,43,Low,Yes,Yes,"Breakfast,Snack",120
54,Papaya,Fruit,60,1.0,15,0.2,60,Medium,No,Yes,"Breakfast,Snack",80
55,Guava,Fruit,68,3.0,14,1.0,20,Low,Yes,Yes,Snack,60
56,Pear,Fruit,102,1.0,27,0.2,38,Low,Yes,Yes,Snack,180
57,Pomegranate,Fruit,144,3.0,33,2.0,35,Low,Yes,Yes,Snack,250
58,Kiwi,Fruit,61,1.0,15,0.5,47,Low,Yes,Yes,Snack,200
59,Avocado,Fruit,160,2.0,9,15.0,15,Low,Yes,Yes,Snack,400
60,Mixed Berries,Fruit,57,1.0,14,0.3,25,Low,Yes,Yes,Snack,300
61,Almond (10 pcs),Snack,70,3.0,3,6.0,0,Low,Yes,Yes,Snack,150
62,Walnut (5 pcs),Snack,65,2.0,1,7.0,15,Low,Yes,Yes,Snack,120
63,Pumpkin Seeds,Snack,85,5.0,3,7.0,10,Low,Yes,Yes,Snack,200
64,Sunflower Seeds,Snack,90,4.0,4,8.0,8,Low,Yes,Yes,Snack,180
65,Roasted Chickpeas,Snack,120,6.0,20,2.0,28,Low,Yes,Yes,Snack,80
66,Roasted Makhana (Fox Nuts),Snack,90,4.0,18,1.0,50,Low,Yes,Yes,Snack,150
67,Fresh Coconut (Small),Snack,160,1.0,7,15.0,45,Low,Yes,Yes,Snack,50
68,Boiled Peanuts,Snack,180,8.0,10,14.0,14,Low,Yes,Yes,Snack,60
69,Green Tea,Beverage,2,0.0,0,0.0,0,Low,Yes,Yes,"Breakfast,Snack",50
70,Lemon Water,Beverage,5,0.0,1,0.0,0,Low,Yes,Yes,"Breakfast,Snack",10
71,Herbal Tea,Beverage,3,0.0,0,0.0,0,Low,Yes,Yes,"Breakfast,Snack",80
72,Black Coffee,Beverage,2,0.3,0,0.0,0,Low,Yes,Yes,"Breakfast,Snack",30
73,Nepali Chiya (No Sugar),Beverage,20,1.0,2,1.0,25,Low,Yes,Yes,"Breakfast,Snack",15
74,Buttermilk (Mahi),Beverage,60,3.0,8,2.0,30,Low,Yes,Yes,"Breakfast,Snack",40
75,Fresh Milk (Low Fat),Beverage,90,8.0,12,2.5,39,Low,Yes,Yes,"Breakfast,Snack",80
76,Vegetable Soup,Vegetable,80,3.0,15,1.0,30,Low,Yes,Yes,"Lunch,Dinner",70
77,Chicken Clear Soup,Meat,90,12.0,5,2.0,25,Low,Yes,No,"Lunch,Dinner",150
78,Lentil Soup,Legume,100,8.0,18,1.0,29,Low,Yes,Yes,"Lunch,Dinner",80
79,Tomato Soup,Vegetable,75,2.0,16,1.0,30,Low,Yes,Yes,"Lunch,Dinner",90
80,Thukpa (Veg),Meal,280,9.0,48,6.0,55,Low,Yes,Yes,"Lunch,Dinner",120
81,Thukpa (Chicken),Meal,320,18.0,42,8.0,52,Low,Yes,No,"Lunch,Dinner",180
82,Chowmein (Veg - Less Oil),Meal,300,8.0,52,7.0,50,Low,Yes,Yes,"Lunch,Dinner",100
83,Upma,Grain,180,5.0,32,4.0,55,Low,Yes,Yes,Breakfast,60
84,Poha,Grain,180,4.0,38,3.0,50,Low,Yes,Yes,Breakfast,70
85,Idli (4 pcs),Grain,160,6.0,32,1.0,50,Low,Yes,Yes,Breakfast,80
86,Dosa (Plain),Grain,180,4.0,36,3.0,52,Low,Yes,Yes,Breakfast,90
87,Uttapam,Grain,200,6.0,38,4.0,50,Low,Yes,Yes,Breakfast,100
88,Vegetable Sandwich (Brown Bread),Meal,220,8.0,38,5.0,48,Low,Yes,Yes,Breakfast,80
89,Sprout Salad,Vegetable,120,8.0,18,2.0,25,Low,Yes,Yes,"Breakfast,Snack",60
90,Fruit Salad,Fruit,120,2.0,30,0.5,40,Low,Yes,Yes,"Breakfast,Snack",100
91,Bhuteko Bhat (Fried Rice - Less Oil),Meal,350,8.0,62,8.0,55,Low,Yes,Yes,"Lunch,Dinner",90
92,Vegetable Pulao,Meal,320,7.0,58,7.0,52,Low,Yes,Yes,"Lunch,Dinner",120
93,Jeera Rice,Grain,280,5.0,52,6.0,55,Low,Yes,Yes,"Lunch,Dinner",80
94,Roti with Vegetable Curry,Meal,380,12.0,68,8.0,50,Low,Yes,Yes,"Lunch,Dinner",100
95,Chapati with Dal,Meal,360,14.0,65,6.0,48,Low,Yes,Yes,"Lunch,Dinner",90
96,Paratha (Whole Wheat),Grain,280,8.0,48,7.0,55,Low,Yes,Yes,Breakfast,60
97,Aloo Paratha (Baked),Grain,320,9.0,52,9.0,58,Medium,No,Yes,Breakfast,70
98,Sweet Potato (Boiled),Vegetable,115,2.0,27,0.1,44,Low,Yes,Yes,"Breakfast,Snack",60
99,Corn on Cob (Boiled),Vegetable,96,3.0,21,1.0,52,Low,Yes,Yes,Snack,40
100,Roasted Corn,Snack,110,4.0,23,1.5,55,Low,Yes,Yes,Snack,30
101,Sel Roti (2 pcs),Snack,220,4.0,44,4.0,68,High,No,Yes,"Breakfast,Snack",40
102,Yomari (2 pcs),Dessert,260,5.0,52,4.0,75,High,No,Yes,Snack,60
103,Chataamari (Rice Crepe),Meal,280,8.0,46,7.0,65,Medium,No,Yes,"Breakfast,Lunch,Snack",70
104,Samay Baji Set,Meal,550,20.0,65,20.0,60,Medium,No,No,"Lunch,Dinner",250
105,Buff Momo (Steamed),Meal,260,14.0,30,9.0,54,Low,Yes,No,"Lunch,Dinner,Snack",130
106,Buff Sekuwa,Meat,230,26.0,4,11.0,50,Low,Yes,No,"Lunch,Dinner",220
107,Paneer Tikka,Meat,210,16.0,8,12.0,40,Low,Yes,Yes,"Lunch,Dinner,Snack",200
108,Sattu Drink,Beverage,140,8.0,22,2.0,45,Low,Yes,Yes,"Breakfast,Snack",30
109,Dahi Chiura (Beaten Rice with Curd),Meal,320,10.0,58,6.0,60,Medium,No,Yes,"Breakfast,Lunch",80
110,Khichdi (Rice and Dal),Meal,320,11.0,60,5.0,55,Low,Yes,Yes,"Lunch,Dinner",70
111,Masala Chiura (Beaten Rice Mix),Snack,210,6.0,38,4.0,60,Medium,No,Yes,Snack,40
112,Bhakka (Steamed Rice Cake),Snack,180,4.0,38,1.0,65,Medium,No,Yes,"Breakfast,Snack",30
113,Aloo Sadeko,Vegetable,160,3.0,20,7.0,62,Medium,No,Yes,"Lunch,Dinner,Snack",40
114,Chatpate,Snack,260,6.0,40,8.0,70,High,No,Yes,Snack,30
