food_id,name,category,calories,protein,carbohydrates,fats,glycemic_index,gi_category,price,is_vegetarian,meal_type,description
1,Dal Bhat (Rice + Lentil),Main Course,350,14.5,62.0,3.5,65,Medium,45,TRUE,lunch/dinner,Traditional Nepali staple meal of steamed rice and lentil soup
2,Dhido (Buckwheat),Main Course,280,5.0,58.0,1.5,54,Medium,30,TRUE,lunch/dinner,Traditional buckwheat porridge often eaten with gundruk or curry
3,Dhido (Millet),Main Course,290,6.0,60.0,2.0,54,Medium,28,TRUE,lunch/dinner,Traditional finger millet porridge rich in calcium and iron
4,Dhido (Maize),Main Course,270,5.5,56.0,2.0,70,High,20,TRUE,lunch/dinner,Cornmeal porridge popular in hilly and Terai regions
5,Roti (Wheat Chapati),Bread,120,3.5,22.0,2.5,62,Medium,5,TRUE,breakfast/lunch/dinner,Whole wheat flatbread cooked on tawa
6,Sel Roti,Bread,210,3.2,35.0,7.5,72,High,20,TRUE,breakfast/snack,Traditional Nepali sweet ring-shaped rice flour bread fried in oil
7,Chiura (Beaten Rice),Grain,190,3.5,41.0,1.2,70,High,30,TRUE,breakfast/snack,Flattened rice flakes eaten with curd or vegetables
8,White Rice (Steamed),Grain,200,4.0,44.0,0.5,73,High,35,TRUE,lunch/dinner,Plain steamed white rice the staple of Nepali meals
9,Brown Rice (Steamed),Grain,215,4.5,44.5,1.8,50,Low,40,TRUE,lunch/dinner,Whole grain brown rice lower GI than white rice
10,Makai Ko Dhido (Corn Porridge),Grain,260,5.5,54.0,2.5,70,High,20,TRUE,breakfast/lunch,Cornmeal porridge popular in hilly regions of Nepal
11,Musuro Dal (Red Lentil Soup),Lentil/Dal,180,12.0,28.0,1.5,29,Low,35,TRUE,lunch/dinner,Red lentil soup high in protein and iron commonly eaten daily
12,Chana Dal (Split Chickpea Soup),Lentil/Dal,190,12.5,30.0,2.0,11,Low,40,TRUE,lunch/dinner,Yellow split chickpea lentil soup rich in protein
13,Mung Dal (Green Gram Soup),Lentil/Dal,160,10.5,26.5,1.0,25,Low,38,TRUE,lunch/dinner,Green gram soup easy to digest good for sick people
14,Rajma (Kidney Bean Curry),Lentil/Dal,210,13.5,35.0,1.5,29,Low,50,TRUE,lunch/dinner,Red kidney bean curry high in protein and fibre
15,Kwati (Mixed Sprouted Bean Soup),Lentil/Dal,220,14.5,35.0,3.0,32,Low,50,TRUE,lunch/dinner,Mixed nine-bean sprouted soup traditional festival food
16,Black Eyed Peas Curry (Bodi Dal),Lentil/Dal,195,13.0,33.0,1.8,42,Low,45,TRUE,lunch/dinner,Black eyed pea curry popular in Nepali households
17,Tarkari Dal (Mixed Vegetable Lentil),Lentil/Dal,185,11.0,29.0,2.5,35,Low,40,TRUE,lunch/dinner,Lentil soup cooked with seasonal vegetables
18,Gahat Ko Dal (Horse Gram),Lentil/Dal,200,14.0,32.0,1.5,29,Low,35,TRUE,lunch/dinner,Horse gram lentil soup popular in hilly regions good for kidney stones
19,Maas Ko Dal (Black Lentil),Lentil/Dal,205,13.5,33.0,2.0,30,Low,40,TRUE,lunch/dinner,Whole black lentil soup rich in iron and protein
20,Simi Ko Dal (Field Bean),Lentil/Dal,190,12.0,31.0,1.8,35,Low,38,TRUE,lunch/dinner,Field bean soup high in protein and fibre
21,Chicken Curry (Kukhura Ko Masu),Curry,220,25.0,8.0,10.5,0,None,150,FALSE,lunch/dinner,Spiced Nepali style chicken curry with onion tomato and spices
22,Mutton Curry (Khasi Ko Masu),Curry,280,24.0,6.5,17.0,0,None,200,FALSE,lunch/dinner,Slow cooked spiced goat meat curry
23,Buffalo Meat Curry (Buff),Curry,175,26.0,0.0,7.5,0,None,180,FALSE,lunch/dinner,Spiced buffalo meat curry common and affordable in Nepal
24,Fish Curry (Macha Ko Tarkari),Curry,165,22.0,5.5,6.5,0,None,160,FALSE,lunch/dinner,Freshwater fish curry with mustard oil and spices
25,Egg Curry (Anda Ko Tarkari),Curry,180,12.5,8.0,11.5,0,None,80,FALSE,lunch/dinner,Hard boiled eggs in spiced tomato and onion gravy
26,Aloo Tama (Potato Bamboo Shoot),Curry,180,5.5,28.0,5.5,55,Medium,60,TRUE,lunch/dinner,Fermented bamboo shoot and potato curry traditional Nepali dish
27,Aloo Cauli (Potato Cauliflower),Vegetable,140,4.5,25.0,3.5,65,Medium,55,TRUE,lunch/dinner,Dry stir fry of potato and cauliflower with spices
28,Pork Curry (Bangur Ko Masu),Curry,260,22.0,5.0,17.0,0,None,170,FALSE,lunch/dinner,Spiced pork curry popular in certain communities in Nepal
29,Chicken Sekuwa (Grilled),Grilled,210,28.0,3.0,9.5,0,None,160,FALSE,lunch/dinner,Marinated grilled chicken pieces popular Nepali BBQ
30,Mutton Sekuwa (Grilled),Grilled,245,26.0,2.5,14.0,0,None,200,FALSE,lunch/dinner,Marinated grilled goat meat pieces
31,Spinach Saag (Palungo),Vegetable,55,3.5,8.0,1.2,15,Low,30,TRUE,lunch/dinner,Sauteed spinach with garlic and mustard oil high in iron
32,Mustard Greens (Rayo Ko Saag),Vegetable,48,3.8,7.5,0.8,10,Low,25,TRUE,lunch/dinner,Stir fried mustard green leaves with garlic common in winter
